id;create_date;rent_price;deposit;floor;area_total;rooms;region;repair_type;agent_fee
1;2021-12-06 09:54:00.540;88400.00;;2;63.2;2;1;;
2;2021-12-06 09:52:00.520;88100.00;;6;53.6;2;1;;
3;2021-12-06 09:48:00.480;36000.00;;9;39.0;1;1;;
4;2021-12-06 09:46:00.460;35000.00;;5;40.0;1;1;;
5;2021-12-06 09:45:00.450;30000.00;;8;28.0;0;2;;
6;2021-12-06 09:45:00.450;35000.00;;8;33.0;1;1;;
7;2021-12-06 09:45:00.450;150000.00;150000.00;8;62.0;2;1;design;40
8;2021-12-06 09:43:00.430;30000.00;;19;37.6;1;2;;
9;2021-12-06 09:42:00.420;35000.00;35000.00;1;38.0;1;1;cosmetic;50
10;2021-12-06 09:41:00.410;35000.00;;3;32.0;1;1;;
11;2021-12-06 09:41:00.410;35000.00;;14;35.0;1;1;;
12;2021-12-06 09:40:00.400;35000.00;;4;45.0;1;1;;
13;2021-12-06 09:40:00.400;35000.00;35000.00;6;38.0;1;1;euro;70
14;2021-12-06 09:38:00.380;80000.00;;6;90.0;3;1;;
15;2021-12-06 09:38:00.380;34000.00;;2;35.0;1;1;;
16;2021-12-06 09:37:00.370;70000.00;70000.00;4;32.0;0;2;euro;0
17;2021-12-06 09:35:00.350;80200.00;0.00;7;53.0;2;1;design;0
18;2021-12-06 09:35:00.350;80000.00;;14;50.0;2;1;;
19;2021-12-06 09:31:00.310;60000.00;60000.00;2;24.0;0;2;euro;0
20;2021-12-06 09:26:00.260;15100.00;;3;45.0;1;1;;
21;2021-12-06 09:20:00.200;70000.00;;11;41.0;2;1;;
22;2021-12-06 09:11:00.110;41000.00;;3;38.0;2;1;;
23;2021-12-06 08:50:00.500;40000.00;20000.00;15;40.0;1;1;cosmetic;0
24;2021-12-06 08:49:00.490;109000.00;109000.00;38;40.0;2;1;design;50
25;2021-12-06 08:42:00.420;38000.00;38000.00;13;40.0;1;1;euro;40
26;2021-12-06 08:40:00.400;38000.00;38000.00;3;40.0;1;1;euro;70
27;2021-12-06 08:39:00.390;60000.00;60000.00;3;56.0;2;1;euro;50
28;2021-12-06 08:38:00.380;58000.00;58000.00;4;57.0;3;1;cosmetic;0
29;2021-12-06 08:37:00.370;58000.00;;7;78.0;3;1;;
30;2021-12-06 08:24:00.240;40000.00;40000.00;14;38.0;1;1;cosmetic;100
31;2021-12-06 08:13:00.130;45000.00;45000.00;4;55.0;2;1;cosmetic;100
32;2021-12-06 08:13:00.130;45000.00;45000.00;7;55.0;2;1;euro;99
33;2021-12-06 08:13:00.130;45000.00;;7;52.0;2;1;;
34;2021-12-06 08:09:00.90;55000.00;55000.00;2;75.0;3;1;cosmetic;50
35;2021-12-06 08:09:00.90;55000.00;55000.00;1;60.0;2;1;euro;99
36;2021-12-06 08:09:00.90;55000.00;55000.00;6;63.0;2;1;euro;50
37;2021-12-06 08:09:00.90;55000.00;55000.00;1;56.0;2;1;euro;50
38;2021-12-06 08:09:00.90;55000.00;55000.00;5;40.0;1;1;design;50
39;2021-12-06 08:08:00.80;50000.00;50000.00;5;54.0;2;1;cosmetic;50
40;2021-12-06 08:08:00.80;50000.00;50000.00;1;52.0;2;1;euro;50
41;2021-12-06 08:00:00.00;47000.00;47000.00;5;45.0;2;1;euro;99
42;2021-12-06 07:50:00.500;40000.00;;7;43.2;1;2;;
43;2021-12-06 07:18:00.180;60000.00;60000.00;3;48.0;2;1;euro;30
44;2021-12-06 07:18:00.180;60000.00;60000.00;3;61.0;2;1;cosmetic;70
45;2021-12-06 06:54:00.540;200000.00;200000.00;8;75.0;3;1;design;0
46;2021-12-06 06:24:00.240;53400.00;0.00;6;69.8;2;1;euro;50
47;2021-12-06 06:23:00.230;51900.00;0.00;2;35.0;1;1;euro;50
48;2021-12-06 06:17:00.170;40000.00;40000.00;15;57.0;2;2;euro;0
49;2021-12-06 06:06:00.60;85000.00;85000.00;3;63.5;2;1;cosmetic;50
50;2021-12-06 06:06:00.60;84400.00;0.00;22;77.7;3;1;euro;50
51;2021-12-06 05:58:00.580;36000.00;0.00;10;39.5;1;2;cosmetic;0
52;2021-12-06 05:48:00.480;32000.00;32000.00;5;30.0;0;2;cosmetic;40
53;2021-12-06 05:43:00.430;40900.00;0.00;5;43.3;1;1;euro;50
54;2021-12-06 05:40:00.400;75000.00;75000.00;14;33.0;1;1;unknown;50
55;2021-12-06 05:35:00.350;40000.00;40000.00;10;52.0;2;1;cosmetic;0
56;2021-12-06 04:55:00.550;70000.00;70000.00;12;65.0;3;1;cosmetic;100
57;2021-12-06 04:51:00.510;55000.00;55000.00;4;58.0;2;1;cosmetic;50
58;2021-12-06 04:46:00.460;55000.00;55000.00;1;56.0;2;1;euro;50
59;2021-12-06 04:43:00.430;45000.00;45000.00;4;65.0;3;1;cosmetic;50
60;2021-12-06 04:37:00.370;48000.00;0.00;10;68.3;2;2;cosmetic;50
61;2021-12-06 04:37:00.370;47000.00;47000.00;3;60.0;2;2;euro;60
62;2021-12-06 04:36:00.360;40000.00;40000.00;17;42.0;1;1;euro;50
63;2021-12-06 04:32:00.320;45400.00;0.00;13;66.4;2;2;euro;50
64;2021-12-06 04:29:00.290;45000.00;45000.00;1;51.8;2;2;euro;50
